City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
222,Tupaciguara,BR,2021-08-08 18:16:05,-18.5922,-48.705,76.12,26,0,8.28,clear sky
223,Takoradi,GH,2021-08-08 18:16:05,4.8845,-1.7554,78.01,78,78,11.56,broken clouds
224,Kavieng,PG,2021-08-08 18:16:05,-2.5744,150.7967,80.76,76,91,10.92,light rain
225,Aljezur,PT,2021-08-08 18:16:06,37.3191,-8.8033,68.18,65,0,15.57,clear sky
226,Asau,RO,2021-08-08 18:16:06,46.4333,26.4,72.52,65,13,1.99,few clouds
227,Najran,SA,2021-08-08 18:16:06,17.4924,44.1277,93.85,13,98,8.08,overcast clouds
228,Huescar,ES,2021-08-08 18:16:06,37.811,-2.5412,86.94,38,0,11.05,clear sky
229,Namatanai,PG,2021-08-08 18:16:07,-3.6667,152.4333,77.45,83,98,5.95,light rain
230,Coihaique,CL,2021-08-08 18:16:07,-45.5752,-72.0662,48.15,53,0,3.44,clear sky
231,Leiyang,CN,2021-08-08 18:16:07,26.4024,112.8591,80.11,91,99,4.07,overcast clouds
232,Presidencia Roque Saenz Pena,AR,2021-08-08 18:16:07,-26.7852,-60.4388,94.89,19,25,15.14,scattered clouds
233,Gayeri,BF,2021-08-08 18:16:08,12.6497,0.4931,87.73,56,70,9.82,broken clouds
234,Provideniya,RU,2021-08-08 18:16:08,64.3833,-173.3,44.65,84,100,13.47,overcast clouds
235,Saldanha,ZA,2021-08-08 18:16:05,-33.0117,17.9442,58.08,79,100,17.13,overcast clouds
236,Pangnirtung,CA,2021-08-08 18:16:08,66.1451,-65.7125,48.2,66,90,13.8,overcast clouds
237,Longyearbyen,SJ,2021-08-08 18:16:09,78.2186,15.6401,44.44,81,20,12.66,few clouds
238,Leningradskiy,RU,2021-08-08 18:16:09,69.3833,178.4167,37.74,79,67,15.37,broken clouds
239,Grand Gaube,MU,2021-08-08 18:16:09,-20.0064,57.6608,69.39,89,92,5.01,light rain
240,Wanning,CN,2021-08-08 18:16:09,18.8003,110.3967,82.06,87,100,9.62,overcast clouds
241,Itarema,BR,2021-08-08 18:15:33,-2.9248,-39.9167,85.08,59,2,20.8,clear sky
242,Khatra,IN,2021-08-08 18:16:10,22.9833,86.85,81.18,83,95,6.17,overcast clouds
243,Dubti,ET,2021-08-08 18:16:10,11.7361,41.0853,95.65,37,18,5.86,few clouds
244,Thompson,CA,2021-08-08 18:16:10,55.7435,-97.8558,62.76,100,90,5.75,mist
245,Eyrarbakki,IS,2021-08-08 18:16:11,63.863,-21.1481,64.45,72,83,7.25,broken clouds
246,Khalki,GR,2021-08-08 18:16:11,39.5667,22.5333,81.59,57,0,6.91,clear sky
247,Cidreira,BR,2021-08-08 18:15:35,-30.1811,-50.2056,66.22,73,2,9.24,clear sky
248,Banjar,ID,2021-08-08 18:16:11,-8.19,114.9675,78.66,88,72,3.69,broken clouds
249,Kyra,RU,2021-08-08 18:12:14,49.5776,111.9753,51.76,88,94,6.02,light rain
250,Curvelo,BR,2021-08-08 18:16:12,-18.7564,-44.4308,78.76,29,34,8.41,scattered clouds
251,Galeana,MX,2021-08-08 18:16:12,24.8333,-100.0667,77.31,41,6,4.79,clear sky
252,Saldana,CO,2021-08-08 18:16:12,3.9292,-75.0152,90.05,45,97,5.88,overcast clouds
253,Conde,BR,2021-08-08 18:16:12,-7.2597,-34.9075,80.06,69,75,17.27,broken clouds
254,Margate,GB,2021-08-08 18:16:13,51.3813,1.3862,66.69,68,91,4.0,overcast clouds
255,Vila Franca Do Campo,PT,2021-08-08 18:16:13,37.7167,-25.4333,72.01,76,70,9.44,broken clouds
256,Salinopolis,BR,2021-08-08 18:16:13,-0.6136,-47.3561,84.22,64,16,12.55,few clouds
257,Mimongo,GA,2021-08-08 18:16:14,-1.6195,11.6068,72.05,78,78,4.7,broken clouds
258,Hinton,CA,2021-08-08 18:16:14,53.4001,-117.5857,64.44,73,100,3.06,overcast clouds
